date,category,tags,expense,income,amount_clp,description,day
2025-07-21,Food & Drinks,groceries,32405.0,0.0,32405.0,none,Monday
2025-07-21,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Monday
2025-07-22,Education,books/library,11350.0,0.0,11350.0,Stationery,Tuesday
2025-07-23,Transport,taxi,5443.0,0.0,5443.0,none,Wednesday
2025-07-23,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-07-23,Health & Personal Care,medical services,2048.0,0.0,2048.0,Gyno tests,Wednesday
2025-07-23,Health & Personal Care,medical services,6893.0,0.0,6893.0,Gyno,Wednesday
2025-07-23,Transport,taxi,6457.0,0.0,6457.0,none,Wednesday
2025-07-23,Food & Drinks,groceries,9180.0,0.0,9180.0,Vitamin D supplements,Wednesday
2025-07-25,Leisure,games,3635.0,0.0,3635.0,none,Friday
2025-07-25,Leisure,events,3000.0,0.0,3000.0,none,Friday
2025-07-26,Food & Drinks,coffee & tea,4180.0,0.0,4180.0,none,Saturday
2025-07-26,Food & Drinks,restaurants,45540.0,0.0,45540.0,none,Saturday
2025-07-27,Food & Drinks,restaurants,14584.0,0.0,14584.0,none,Sunday
2025-07-27,Food & Drinks,groceries,37675.0,0.0,37675.0,none,Sunday
2025-07-28,Food & Drinks,groceries,12990.0,0.0,12990.0,none,Monday
2025-07-28,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Monday
2025-07-29,Food & Drinks,restaurants,28105.0,0.0,28105.0,none,Tuesday
2025-07-29,Food & Drinks,coffee & tea,10560.0,0.0,10560.0,none,Tuesday
2025-07-30,Health & Personal Care,gym/exercise,24990.0,0.0,24990.0,Classpass ,Wednesday
2025-07-30,Food & Drinks,restaurants,7817.0,0.0,7817.0,none,Wednesday
2025-07-31,Transport,taxi,11447.0,0.0,11447.0,none,Thursday
2025-07-31,Food & Drinks,alcohol,4000.0,0.0,4000.0,none,Thursday
2025-07-31,Food & Drinks,restaurants,10539.0,0.0,10539.0,none,Thursday
2025-07-31,Transport,taxi,5791.0,0.0,5791.0,none,Thursday
2025-08-01,Food & Drinks,groceries,56889.0,0.0,56889.0,none,Friday
2025-08-01,Food & Drinks,restaurants,12189.0,0.0,12189.0,Uber Eats,Friday
2025-08-01,Food & Drinks,restaurants,7600.0,0.0,7600.0,Cancelled order,Friday
2025-08-01,Health & Personal Care,gym/exercise,100000.0,0.0,100000.0,VFIT gym,Friday
2025-08-02,Food & Drinks,groceries,41375.0,0.0,41375.0,none,Saturday
2025-08-02,Education,none,28990.0,0.0,28990.0,Annual planner jefa from Lluna Papelería,Saturday
2025-08-02,Food & Drinks,coffee & tea,4829.0,0.0,4829.0,Coffee,Saturday
2025-08-03,Health & Personal Care,medicine,11491.0,0.0,11491.0,Lexapro,Sunday
2025-08-04,Transport,travel card,10000.0,0.0,10000.0,none,Monday
2025-08-04,Food & Drinks,coffee & tea,5500.0,0.0,5500.0,Brekkie coffee,Monday
2025-08-04,Home & Utilities,rent,904507.0,0.0,904507.0,none,Monday
2025-08-04,Health & Personal Care,cosmetics,31970.0,0.0,31970.0,Skincare restock,Monday
2025-08-04,Food & Drinks,restaurants,10781.0,0.0,10781.0,Uber Eats,Monday
2025-08-05,Home & Utilities,internet,26967.0,0.0,26967.0,none,Tuesday
2025-08-05,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,Starbucks,Tuesday
2025-08-05,Food & Drinks,restaurants,7817.0,0.0,7817.0,Uber Eats,Tuesday
2025-08-06,Health & Personal Care,gym/exercise,18000.0,0.0,18000.0,Pilates class,Wednesday
2025-08-06,Food & Drinks,restaurants,12189.0,0.0,12189.0,none,Wednesday
2025-08-07,Food & Drinks,coffee & tea,5500.0,0.0,5500.0,Café Magnolia,Thursday
2025-08-07,Home & Utilities,phone accessories,15980.0,0.0,15980.0,iPad case replacement,Thursday
2025-08-07,Home & Utilities,utilities,20884.0,0.0,20884.0,none,Thursday
2025-08-08,Food & Drinks,coffee & tea,5390.0,0.0,5390.0,Elephant Coffee Flat White,Friday
2025-08-08,Health & Personal Care,cosmetics,8929.0,0.0,8929.0,Veet wax strips,Friday
2025-08-08,Food & Drinks,restaurants,17073.0,0.0,17073.0,Uber Eats,Friday
2025-08-08,Food & Drinks,restaurants,7255.0,0.0,7255.0,Uber Eats,Friday
2025-08-09,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Saturday
2025-08-09,Transport,taxi,7960.0,0.0,7960.0,none,Saturday
2025-08-09,Food & Drinks,coffee & tea,14360.0,0.0,14360.0,none,Saturday
2025-08-09,Education,AI,5.0,0.0,4831.0,Medium,Saturday
2025-08-09,Education,AI,23.8,0.0,22996.0,ChatGPT,Saturday
2025-08-10,Clothing & Footwear,shoes,22000.0,0.0,22000.0,Second hand shoes ,Sunday
2025-08-10,Food & Drinks,groceries,29901.0,0.0,29901.0,none,Sunday
2025-08-10,Food & Drinks,coffee & tea,6160.0,0.0,6160.0,none,Sunday
2025-08-11,Clothing & Footwear,clothes,12500.0,0.0,12500.0,Clothes alteration,Monday
2025-08-11,Clothing & Footwear,clothes,10980.0,0.0,10980.0,Second hand sweater from nostalgic - from my buying list,Monday
2025-08-11,Clothing & Footwear,clothes,49900.0,0.0,49900.0,Maroa - new corduroy pants,Monday
2025-08-12,Education,AI,2990.0,0.0,2990.0,Bear Pro,Tuesday
2025-08-13,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-08-13,Home & Utilities,gastos comunes,225922.0,0.0,225922.0,none,Wednesday
2025-08-13,Food & Drinks,restaurants,11960.0,0.0,11960.0,none,Wednesday
2025-08-14,Transport,taxi,6391.0,0.0,6391.0,none,Thursday
2025-08-14,Transport,taxi,7186.0,0.0,7186.0,none,Thursday
2025-08-15,Transport,taxi,6853.0,0.0,6853.0,none,Friday
2025-08-15,Health & Personal Care,manicure/pedicure,29150.0,0.0,29150.0,none,Friday
2025-08-15,Food & Drinks,coffee & tea,5280.0,0.0,5280.0,none,Friday
2025-08-15,Food & Drinks,restaurants,17320.0,0.0,17320.0,none,Friday
2025-08-16,Food & Drinks,restaurants,8267.0,0.0,8267.0,none,Saturday
2025-08-16,Food & Drinks,restaurants,37840.0,0.0,37840.0,none,Saturday
